lineage	count
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae	1385924
d_Eukaryota;k_Metazoa;p_Chordata;c_Mammalia;o_Primates;f_Hominidae	1144563
d_Bacteria;p_Tenericutes;c_Mollicutes	529313
d_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Blattabacteriaceae	918324
d_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Blattabacteriaceae;g_Blattabacterium	918324
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Myoviridae;g_Bellamyvirus;s_Synechococcus phage SynMITS9220M01	369332
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae	798944
d_Bacteria;p_Planctomycetes	941732
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Myoviridae;g_Tamkungvirus	462841
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Myoviridae;g_Tamkungvirus;s_Synechococcus virus ST4	462841
d_Eukaryota;k_Metazoa;p_Chordata;c_Mammalia;o_Primates;f_Hominidae;g_Homo;s_Homo sapiens	1029848
d_Eukaryota;k_Metazoa;p_Chordata;c_Mammalia;o_Primates;f_Hominidae;g_Homo	1029848
d_Eukaryota;k_Viridiplantae;p_Chlorophyta	832564
d_Archaea;p_Euryarchaeota	499823
d_Eukaryota;k_Fungi;p_Ascomycota	762534
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Myoviridae;g_Bellamyvirus;s_Synechococcus virus Bellamy	327008
d_Viruses;k_Bamfordvirae;p_Nucleocytoviricota;c_Megaviricetes;o_Algavirales;f_Phycodnaviridae	379573
d_Viruses;k_Bamfordvirae;p_Nucleocytoviricota;c_Megaviricetes;o_Algavirales	379573
d_Bacteria;p_Firmicutes;c_Bacilli	611858
d_Bacteria;p_Proteobacteria;c_Deltaproteobacteria	527642
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Myoviridae;s_Synechococcus phage S-SCSM1	340935
d_Bacteria;p_Planctomycetes;c_Planctomycetia	785745
d_Bacteria;p_Proteobacteria;c_Betaproteobacteria;g_Candidatus Kinetoplastibacterium	431140
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Myoviridae;g_Kanaloavirus	320915
d_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Alcaligenaceae	911360
d_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Ralstonia	838648
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bartonellaceae;g_Bartonella	262280
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bartonellaceae	262280
d_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Alcaligenaceae;g_Bordetella	836278
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Rhizobium	841404
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Podoviridae;s_Podoviridae sp. ct2cs2	246113
d_Eukaryota;p_Haptista	191110
d_Eukaryota;p_Haptista;c_Haptophyta	190995
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Siphoviridae;s_Synechococcus phage S-CBS2	180361
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Erythrobacteraceae	865748
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_Novosphingobium	923793
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Pelagibacterales	176896
d_Eukaryota;p_Haptista;c_Haptophyta;o_Isochrysidales	181880
d_Bacteria;p_Planctomycetes;c_Planctomycetia;o_Pirellulales	616150
d_Bacteria;p_Planctomycetes;c_Planctomycetia;o_Pirellulales;f_Pirellulaceae	615959
d_Bacteria;p_Planctomycetes;c_Planctomycetia;o_Pirellulales;f_Pirellulaceae;g_Rhodopirellula	611176
d_Bacteria;p_Planctomycetes;c_Planctomycetia;o_Pirellulales;f_Pirellulaceae;g_Rhodopirellula;s_Rhodopirellula baltica	600810
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Alteromonadales	278860
d_Bacteria;p_Tenericutes;c_Mollicutes;o_Mycoplasmatales	261359
d_Bacteria;p_Tenericutes;c_Mollicutes;o_Mycoplasmatales;f_Mycoplasmataceae	261023
d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales	370392
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Rhodobacter	1106480
d_Viruses;k_Bamfordvirae;p_Nucleocytoviricota;c_Megaviricetes;o_Algavirales;f_Phycodnaviridae;g_Prasinovirus	165194
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Autographiviridae;g_Poseidonvirus	160620
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Autographiviridae;g_Poseidonvirus;s_Synechococcus virus SCBP4	160620
d_Bacteria;p_Bacteroidetes;c_Cytophagia	681539
d_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae	1091282
d_Bacteria;p_Bacteroidetes;c_Cytophagia;o_Cytophagales	673978
d_Eukaryota;k_Metazoa;p_Arthropoda;c_Malacostraca	938148
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Podoviridae;s_Freshwater phage uvFW-CGR-AMD-COM-C440	1178412
d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Mycobacteriaceae;g_Mycobacterium	1096416
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae	589548
d_Bacteria;p_Deinococcus-Thermus	407233
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Siphoviridae;s_Cyanophage KBS-S-2A	134407
d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Candidatus Actinomarinales;f_Candidatus Actinomarinaceae;g_Candidatus Actinomarina;s_Candidatus Actinomarina minuta	132501
d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Candidatus Actinomarinales	132501
d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Candidatus Actinomarinales;f_Candidatus Actinomarinaceae;g_Candidatus Actinomarina	132501
d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Candidatus Actinomarinales;f_Candidatus Actinomarinaceae	132501
d_Eukaryota;k_Metazoa;p_Arthropoda;c_Malacostraca;o_Amphipoda	918066
d_Eukaryota;k_Metazoa;p_Arthropoda;c_Malacostraca;o_Amphipoda;f_Hyalellidae	917868
d_Eukaryota;k_Metazoa;p_Arthropoda;c_Malacostraca;o_Amphipoda;f_Hyalellidae;g_Hyalella	917868
d_Eukaryota;k_Metazoa;p_Arthropoda;c_Malacostraca;o_Amphipoda;f_Hyalellidae;g_Hyalella;s_Hyalella azteca	917868
d_Bacteria;p_Deinococcus-Thermus;c_Deinococci	398190
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Erythrobacteraceae;g_Erythrobacter	691595
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Myoviridae;g_Cymopoleiavirus;s_Synechococcus virus SWAM2	125236
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Chromatiales	281125
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Myoviridae;s_Marine virus AG-345-L05	305199
d_Eukaryota;k_Metazoa;p_Arthropoda;c_Insecta;o_Diptera	707104
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Erythrobacteraceae;g_Erythrobacter;s_Erythrobacter gangjinensis	652295
d_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Burkholderia	484817
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Erwiniaceae	204264
d_Eukaryota;p_Haptista;c_Haptophyta;o_Isochrysidales;f_Isochrysidaceae	106747
d_Eukaryota;p_Bacillariophyta	321779
d_Bacteria;p_Chloroflexi	237070
d_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Myxococcales	297998
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Chromatiales;f_Chromatiaceae	250969
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Autographiviridae;s_Synechococcus phage S-CBP1	130846
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Siphoviridae;s_Synechococcus phage S-H1	194692
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Alteromonadales;f_Alteromonadaceae	166547
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Pelagibacterales;f_Pelagibacteraceae	110543
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Erwiniaceae;g_Buchnera	165546
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Erwiniaceae;g_Buchnera;s_Buchnera aphidicola	165541
d_Eukaryota;p_Rhodophyta	210675
d_Eukaryota;k_Viridiplantae;p_Chlorophyta;c_Chlorophyceae	328009
d_Eukaryota;k_Metazoa;p_Chordata;c_Actinopteri	406362
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Autographiviridae;g_Lirvirus	134243
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Autographiviridae;g_Lirvirus;s_Synechococcus virus SCBP3	134243
d_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;g_Thiomonas	514793
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_Sphingobium	622907
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Myoviridae;g_Cymopoleiavirus;s_Synechococcus phage S-RSM4	98421
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Pelagibacterales;f_Pelagibacteraceae;g_Candidatus Pelagibacter	102185
d_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;g_Thiomonas;s_Thiomonas sp. CB2	499806
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Autographiviridae;g_Pelagivirus	87051
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia	315910
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Alteromonadales;f_Alteromonadaceae;g_Alteromonas	136563
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli	303340
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Rhodopseudomonas	406259
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Rhodopseudomonas;s_Rhodopseudomonas palustris	405397
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_Novosphingobium;s_Novosphingobium sp. PY1	489045
d_Eukaryota;k_Metazoa;p_Arthropoda;c_Insecta;o_Lepidoptera	439551
d_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Rhodocyclales	319829
d_Eukaryota;c_Cryptophyceae	91662
d_Bacteria;p_Firmicutes;c_Clostridia	155396
d_Bacteria;p_Cyanobacteria;o_Synechococcales;f_Synechococcaceae;g_Cyanobium	330975
d_Bacteria;p_Deinococcus-Thermus;c_Deinococci;o_Deinococcales	257681
d_Bacteria;p_Deinococcus-Thermus;c_Deinococci;o_Deinococcales;f_Deinococcaceae	257681
d_Bacteria;p_Deinococcus-Thermus;c_Deinococci;o_Deinococcales;f_Deinococcaceae;g_Deinococcus	257681
d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Streptomycetales;f_Streptomycetaceae;g_Streptomyces;s_Streptomyces coelicolor	197702
d_Archaea;p_Euryarchaeota;c_Halobacteria	172881
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Podoviridae;s_Freshwater phage uvFW-CGR-AMD-COM-C455	140213
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Podoviridae;s_Pelagibacter phage HTVC023P	109001
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Paracoccus	502990
d_Eukaryota;k_Metazoa;p_Nematoda	742823
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rickettsiales;f_Rickettsiaceae	112586
d_Eukaryota;k_Metazoa;p_Nematoda;c_Chromadorea	742250
d_Bacteria;p_Bacteroidetes;c_Cytophagia;o_Cytophagales;s_Cytophagales bacterium Alg240-R148	389259
d_Eukaryota;k_Metazoa;p_Nematoda;c_Chromadorea;o_Rhabditida	736770
d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Micrococcales	330799
d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Mycobacteriaceae;g_Mycolicibacterium	764166
d_Bacteria;p_Tenericutes;c_Mollicutes;o_Mycoplasmatales;f_Mycoplasmataceae;g_Mycoplasma	133059
d_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales	137930
d_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Desulfobacterales	119874
d_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Desulfobacterales;f_Desulfobacteraceae	117200
d_Eukaryota;p_Rhodophyta;c_Florideophyceae	140968
d_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Rhodocyclales;f_Zoogloeaceae	271503
d_Bacteria;p_Spirochaetes;c_Spirochaetia	167608
d_Bacteria;p_Spirochaetes	167616
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Aurantimonadaceae	347971
d_Bacteria;p_Gemmatimonadetes	156972
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rickettsiales;f_Rickettsiaceae;g_Rickettsia	96624
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Siphoviridae;s_Pontimonas phage phiPsal1	298550
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Pseudomonas;s_Pseudomonas aeruginosa	181618
d_Eukaryota;c_Cryptophyceae;o_Pyrenomonadales	69458
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Siphoviridae;s_Freshwater phage uvFW-CGR-AMD-COM-C203	83960
d_Bacteria;p_Cyanobacteria;o_Synechococcales;f_Synechococcaceae;g_Cyanobium;s_Cyanobium sp. NS01	247409
d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Mycobacteriaceae;g_Mycolicibacterium;s_Mycolicibacterium smegmatis	699214
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales	184913
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_Sphingomonas	394460
d_Eukaryota;k_Metazoa;p_Nematoda;c_Chromadorea;o_Rhabditida;f_Strongyloididae	703402
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Podoviridae;s_Freshwater phage uvFW-CGR-AMD-COM-C403	160340
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Rhodobacter;s_Rhodobacter sphaeroides	459062
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae	179908
d_Eukaryota;k_Metazoa;p_Arthropoda;c_Insecta;o_Lepidoptera;f_Noctuidae	373886
d_Eukaryota;k_Metazoa;p_Arthropoda;c_Insecta;o_Lepidoptera;f_Noctuidae;g_Spodoptera	372905
d_Eukaryota;k_Metazoa;p_Arthropoda;c_Insecta;o_Lepidoptera;f_Noctuidae;g_Spodoptera;s_Spodoptera litura	371386
d_Eukaryota;k_Viridiplantae;p_Chlorophyta;c_Chlorophyceae;o_Chlamydomonadales	154425
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Vibrionales	153108
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Vibrionales;f_Vibrionaceae	152783
d_Eukaryota;k_Metazoa;p_Nematoda;c_Chromadorea;o_Rhabditida;f_Strongyloididae;g_Parastrongyloides	694635
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Myoviridae;g_Salacisavirus;s_Marine virus AG-345-F15	162989
d_Eukaryota;k_Metazoa;p_Nematoda;c_Chromadorea;o_Rhabditida;f_Strongyloididae;g_Parastrongyloides;s_Parastrongyloides trichosuri	694635
d_Bacteria;p_Bacteroidetes;c_Bacteroidia	237960
d_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales	237554
d_Viruses;k_Bamfordvirae;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales	196888
d_Viruses;k_Bamfordvirae;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales;f_Mimiviridae	196888
d_Eukaryota;k_Fungi;p_Ascomycota;c_Saccharomycetes	133638
d_Eukaryota;k_Fungi;p_Ascomycota;c_Saccharomycetes;o_Saccharomycetales	133638
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Siphoviridae;s_Synechococcus phage S-LBS1	595800
d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Nocardiaceae	180485
d_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Desulfobacterales;f_Desulfobacteraceae;g_Desulfobacterium	93613
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Pseudomonas;s_Pseudomonas fluorescens	162134
d_Eukaryota;k_Viridiplantae;p_Streptophyta;c_Magnoliopsida;o_Poales	177698
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Oceanospirillales	113276
d_Bacteria;p_Cyanobacteria;o_Nostocales	2457443
d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales	146482
d_Eukaryota;k_Viridiplantae;p_Streptophyta;c_Magnoliopsida;o_Poales;f_Poaceae	171814
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Autographiviridae;g_Stopalavirus;s_Stopalavirus S38C3	55749
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Autographiviridae;g_Stopalavirus	55749
d_Eukaryota;k_Metazoa;p_Arthropoda;c_Insecta;o_Diptera;f_Culicidae	319912
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Rhizobium;s_Rhizobium leguminosarum	264001
d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Nocardiaceae;g_Rhodococcus	165721
d_Eukaryota;k_Fungi;p_Basidiomycota	177843
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Phyllobacteriaceae	223325
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Pelagibacterales;f_Pelagibacteraceae;g_Candidatus Pelagibacter;s_Candidatus Pelagibacter ubique	64714
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Podoviridae;s_Pelagibacter phage HTVC027P	75831
d_Bacteria;p_Cyanobacteria;o_Synechococcales;f_Synechococcaceae;g_Synechococcus;s_Synechococcus elongatus	259708
d_Bacteria;p_Planctomycetes;c_Planctomycetia;o_Planctomycetales	112904
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Legionellales	110474
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Myoviridae;s_Myoviridae sp.	249457
d_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Curvibacter	526872
d_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Curvibacter;s_Curvibacter putative symbiont of Hydra magnipapillata	526478
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae	127356
d_Eukaryota;c_Oomycota	140032
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rickettsiales;f_Rickettsiaceae;g_Rickettsia;s_Rickettsia prowazekii	69192
d_Eukaryota;k_Metazoa;p_Arthropoda;c_Insecta;o_Diptera;f_Drosophilidae	335312
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhodobiaceae	152763
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhodobiaceae;g_Anderseniella	151414
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhodobiaceae;g_Anderseniella;s_Anderseniella sp. Alg231-50	151380
d_Eukaryota;k_Metazoa;p_Arthropoda;c_Insecta;o_Diptera;f_Drosophilidae;g_Drosophila	331039
d_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae	153609
d_Bacteria;p_Spirochaetes;c_Spirochaetia;o_Spirochaetales	95039
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter	117574
